cluster	nomenclature	taxon
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/10264ag/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/119s/2011_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1115s/2011_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/10283sf/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1197ag/2011_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1156s/2011_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/turkey/egypt/10453f/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/1130ag/2011_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/emu/israel/552/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n03071/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1052g/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n02554/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/10432s/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n09174/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/1068s/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/1053/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/3982-9/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1034/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/3982-20/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/091317s/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1021l/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/106d/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/1011d/2010_CLADE2.2.1
