leafname	clustername
a/muscovy_duck/vietnam/57/2007_CLADE2_3_4	10296
a/goose/guangxi/582/2006_CLADE2_3_4	10296
a/duck/guangxi/4428/2005_CLADE2_3_4	10296
a/duck/guiyang/1418/2006_CLADE2_3_4	10296
a/chicken/guangxi/463/2006_CLADE2_3_4	10296
a/duck/hunan/1608/2005_CLADE2_3_2	10530
a/quail/guangxi/575/2005_CLADE2_3_2	10530
a/duck/hunan/1265/2005_CLADE2_3_2	10530
a/goose/yunnan/4494/2005_CLADE2_3_2	10530
a/duck/guangxi/2926/2005_CLADE2_3_2	10530
a/goose/guangxi/3017/2005_CLADE2_3_2	10530
a/duck/guangxi/793/2005_CLADE2_3_2	10530
a/duck/yunnan/5251/2005_CLADE2_3_2	10530
a/duck/yunnan/4589/2005_CLADE2_3_2	10530
a/owstons_civet/vietnam/1/2005_CLADE2_3_2	10530
a/duck/yunnan/5820/2005_CLADE2_3_2	10530
a/duck/guangxi/3085/2005_CLADE2_3_2	10530
a/duck/yunnan/5877/2005_CLADE2_3_2	10530
a/duck/china/e319-2/03_CLADE2_3_2	10530
a/chicken/guangxi/3154/2005_CLADE2_3_2	10530
a/chicken/vietnam/ty25/2005_CLADE2_3_2	10530
a/chicken/guangxi/2448/2004_CLADE2_3_2	10530
a/goose/yunnan/4129/2005_CLADE2_3_2	10530
a/goose/yunnan/6027/2005_CLADE2_3_2	10530
a/duck/yunnan/6607/2005_CLADE2_3_2	10530
a/ph/st/44/2004_CLADE2_3_2	10530
a/chicken/guangdong/1/2005_CLADE2_3_2	10530
a/duck/guangxi/3548/2005_CLADE2_3_2	10530
a/pheasant/shantou/2239/2006_CLADE2_3_2	10530
a/chicken/viet_nam/10/2005_CLADE2_3_2	10530
a/goose/guangxi/3714/2005_CLADE2_3_2	10530
a/goose/yunnan/3720/2005_CLADE2_3_2	10530
a/duck/guangxi/4184/2005_CLADE2_3_2	10530
a/goose/guangxi/345/2005_CLADE2_3_2	10530
a/duck/yunnan/1126/2006_CLADE2_3_2	10530
a/duck/guangxi/951/2005_CLADE2_3_2	10530
a/chicken/shantou/810/05_CLADE2_3_2	10530
a/duck/guangxi/3819/2005_CLADE2_3_2	10530
a/duck/vietnam/568/2005_CLADE2_3_2	10530
a/duck/guangxi/351/2004_CLADE2_3_2	10530
a/duck/guangxi/4016/2005_CLADE2_3_2	10530
a/duck/guangxi/89/2006_CLADE2_3_2	10530
a/grey_heron/hong_kong/728/2004_CLADE2_3_2	10530
a/chinese_pond_heron/hong_kong/18/2005_CLADE2_3_2	10530
a/quail/shantou/911/05_CLADE2_3_2	10530
a/goose/guangxi/3316/2005_CLADE2_3_2	10530
a/grey_heron/hong_kong/837/2004_CLADE2_3_2	10530
a/duck/viet_nam/12/2005_CLADE2_3_2	10530
a/chicken/guangdong/178/04_CLADE2_3_2	10530
a/quail/viet_nam/15/2005_CLADE2_3_2	10530
a/goose/yunnan/4804/2005_CLADE2_3_2	10530
a/duck/yunnan/4400/2005_CLADE2_3_2	10530
a/duck/guangxi/3741/2005_CLADE2_3_2	10530
a/duck/guangxi/3364/2005_CLADE2_3_2	10530
a/chicken/guiyang/2147/2005_CLADE2_3_2	10530
a/chicken/viet_nam/17/2005_CLADE2_3_2	10530
a/muscovy_duck/vietnam/1455/2006_CLADE2_3_2	10530
a/duck/guangxi/4196/2005_CLADE2_3_2	10530
a/chicken/guangxi/2461/2004_CLADE2_3_2	10530
a/chicken/guangxi/3791/2005_CLADE2_3_2	10530
a/goose/yunnan/6368/2005_CLADE2_3_2	10530
a/chicken/primorje/1/2008_CLADE2_3_2	10530
a/chicken/guangxi/604/2005_CLADE2_3_2	10530
a/duck/hunan/533/2004_CLADE2_3_1	10645
a/chicken/hunan/999/2005_CLADE2_3_1	10645
a/duck/hunan/152/2005_CLADE2_3_1	10645
a/duck/hunan/114/05_CLADE2_3_1	10645
a/duck/hunan/733/2004_CLADE2_3_1	10645
a/dk/hn/303/2004_CLADE2_3_1	10645
a/duck/hunan/127/2005_CLADE2_3_1	10645
a/dk/hn/101/2004_CLADE2_3_1	10645
a/duck/hunan/157/2005_CLADE2_3_1	10645
a/dk/hn/5806/2003_CLADE2_3_1	10645
a/duck/hunan/139/2005_CLADE2_3_1	10645
a/duck/hubei/3/2005_CLADE2_3_1	10645
a/chicken/guangdong/191/04_CLADE2_3_1	10645
a/bar-headed_goose/qinghai/75/05_CLADE2_2	10670
a/iraq/755/2006_CLADE2_2	10670
a/chicken/nigeria/vrd218/2006_CLADE2_2	10670
a/grey_lag_goose/denmark/6692/06_CLADE2_2	10670
a/common_buzzard/bavaria/11/2006_CLADE2_2	10670
a/egypt/4226-namru3/2007_CLADE2_2	10670
a/chicken/navapur/india/7972/2006_CLADE2_2	10670
a/chicken/nigeria/od8/2006_CLADE2_2	10670
a/chicken/egypt/3049namru3-clevb75/2007_CLADE2_2	10670
a/chicken/egypt/3044namru3-clevb59/2007_CLADE2_2	10670
a/cygnus_olor/astrakhan/ast05-2-7/2005_CLADE2_2	10670
a/chicken/egypt/f4/2006_CLADE2_2	10670
a/chicken/kurgan/3/2005_CLADE2_2	10670
a/egypt/1731-namru3/2007_CLADE2_2	10670
a/crow/peshawer/narc7914/2007_CLADE2_2	10670
a/great_crested_grebe/denmark/7498/06_CLADE2_2	10670
a/egypt/2631-namru3/2007_CLADE2_2	10670
a/cygnus_olor/czech_republic/7208/06_CLADE2_2	10670
a/duck/tuva/01/2006_CLADE2_2	10670
a/chicken/nigeria/957-20/2006_CLADE2_2	10670
a/chicken/egypt/07632s-nlqp/2007_CLADE2_2	10670
a/egypt/2620-namru3/2007_CLADE2_2	10670
a/duck/switzerland/v389/2006_CLADE2_2	10670
a/chicken/egypt/9387namru3-clevb148/2007_CLADE2_2	10670
a/duck/egypt/12380n3-clevb/2006_CLADE2_2	10670
a/chicken/egypt/1129n3-hk9/2007_CLADE2_2	10670
a/bar-headed_goose/mongolia/1/05_CLADE2_2	10670
a/chicken/nigeria/641/2006_CLADE2_2	10670
a/chicken/sudan/2115-10/2006_CLADE2_2	10670
a/chicken/egypt/12379n3-clevb/2006_CLADE2_2	10670
a/chicken/suzdalka/06/05_CLADE2_2	10670
a/chicken/nigeria/vrd130b/2006_CLADE2_2	10670
a/duck/egypt/3047namru3-clevb63/2007_CLADE2_2	10670
a/quail/egypt/3050namru3-clevb77/2007_CLADE2_2	10670
a/chicken/nigeria/if10/2006_CLADE2_2	10670
a/crow/egypt/9382namru3-clevb111/2007_CLADE2_2	10670
a/chicken/rostov-on-don/35/2007_CLADE2_2	10670
a/chicken/egypt/0836s-nlqp/2008_CLADE2_2	10670
a/chicken/rostov/22-1/2007_CLADE2_2	10670
a/chicken/egypt/3046namru3-clevb62/2007_CLADE2_2	10670
a/chicken/czech_republic/11242-38/07_CLADE2_2	10670
a/duck/germany/r751/06_CLADE2_2	10670
a/canada_goose/sweden/v978/2006_CLADE2_2	10670
a/egypt/10215-namru3/2007_CLADE2_2	10670
a/eagle_owl/sweden/v1218/2006_CLADE2_2	10670
a/chicken/jalgaon/8824/2006_CLADE2_2	10670
a/chicken/nigeria/oyo14/2007_CLADE2_2	10670
a/goose/krasnoozerka/627/2005_CLADE2_2	10670
a/chicken/egypt/9383namru3-clevb112/2007_CLADE2_2	10670
a/peregrine_falcon/slovakia/vh246/06_CLADE2_2	10670
a/chicken/nigeria/fa7/2006_CLADE2_2	10670
a/chicken/nigeria/vrd311/2006_CLADE2_2	10670
a/egypt/2616-namru3/2007_CLADE2_2	10670
a/chicken/afghanistan/1573-92/2006_CLADE2_2	10670
a/egypt/4081-namru3/2007_CLADE2_2	10670
a/egypt/1394-namru3/2007_CLADE2_2	10670
a/chicken/egypt/9386namru3-clevb136/2007_CLADE2_2	10670
a/goose/shantou/2086/2006_CLADE2_5	10670
a/duck/switzerland/v426/2006_CLADE2_2	10670
a/chicken/egypt/9389namru3-clevb150/2007_CLADE2_2	10670
a/chicken/omsk/14/05_CLADE2_2	10670
a/egypt/2991-namru3/2006_CLADE2_2	10670
a/chicken/shantou/3744/2003_CLADEoutliers	10670
a/egypt/2629-namru3/2007_CLADE2_2	10670
a/chicken/egypt/1078-namru3/2006_CLADE2_2	10670
a/goose/shantou/239/2006_CLADE2_5	10670
a/bar-headed_goose/qinghai/65/05_CLADE2_2	10670
a/chicken/egypt/088s-nlqp/2008_CLADE2_2	10670
a/common_buzzard/germany/r870/06_CLADE2_2	10670
a/guinea_fowl/jwp/nigeria/vrd252/2006_CLADE2_2	10670
a/mute_swan/france/06303/2006_CLADE2_2	10670
a/egypt/3401-namru3/2008_CLADE2_2	10670
a/chicken/egypt/r2/2007_CLADE2_2	10670
a/duck/korea/esd1/03_CLADE2_5	10670
a/goosander/switzerland/v82/06_CLADE2_2	10670
a/mute_swan/germany/r797/06_CLADE2_2	10670
a/egypt/3300-namru3/2008_CLADE2_2	10670
a/chicken/egypt/9385namru3-clevb125/2007_CLADE2_2	10670
a/egypt/1604-namru3/2007_CLADE2_2	10670
a/chicken/nigeria/1047-54/2006_CLADE2_2	10670
a/chicken/nigeria/vrd368/2006_CLADE2_2	10670
a/goosander/sweden/v539/2006_CLADE2_2	10670
a/chicken/nigeria/vrd44/2006_CLADE2_2	10670
a/domestic_cat/iraq/820/2006_CLADE2_2	10670
a/cygnus_olor/czech_republic/6206/06_CLADE2_2	10670
a/chicken/india/niv33487/06_CLADE2_2	10670
a/canada_goose/germany/r71/2006_CLADE2_2	10670
a/cygnus_olor/astrakhan/ast05-2-8/2005_CLADE2_2	10670
a/chicken/egypt/9392namru3-clevb167/2007_CLADE2_2	10670
a/chicken/nigeria/1071-5/2007_CLADE2_2	10670
a/chicken/sudan/1784/2006_CLADE2_2	10670
a/peacock/chakshahzad/narc9238/2007_CLADE2_2	10670
a/duck/egypt/07264s-nlqp/2007_CLADE2_2	10670
a/duck/novosibirsk/02/05_CLADE2_2	10670
a/chicken/egypt/9388namru3-clevb149/2007_CLADE2_2	10670
a/chicken/egypt/07125-nlqp/2007_CLADE2_2	10670
a/chicken/nigeria/1071-10/2007_CLADE2_2	10670
a/iraq/754/2006_CLADE2_2	10670
a/chicken/korea/is3/2006_CLADE2_2	10670
a/chicken/egypt/3/2006_CLADE2_2	10670
a/chicken/egypt/1709-6/2008_CLADE2_2	10670
