CLUSTER	TAXA	Sensitivity-induced (original cluster-node-id)	Sub-cluster subsumed into parent (original cluster-node-id)
567	'a/vietnam/cl115/2005_CLADE1'		
24	'a/duck/thailand/phichit-01/2004_CLADE1'		
24	'a/duck/phitsanulok-2-01/2004_CLADE1'		
844	'a/chicken/vietnam/ncvd-1224/2012_CLADE1.1.1'		
928	'a/duck/cambodia/072d1/2011_CLADE1.1.2'		
648	'a/duck/vietnam/1231/2005_CLADE1'		
853	'a/chicken/vietnam/ncvd-780/2011_CLADE1.1.2'		
690	'a/duck/vietnam/ncvd-9/2007_CLADE1.1'		
323	'a/chicken/vietnam/260/2004_CLADE1'		407
596	'a/chicken/cambodia/013lc1b/2005_CLADE1'		
24	'a/dk/thailand/71.1/2004_CLADE1'		
0	'a/egret/hong_kong/757.2/03_CLADE1'		
922	'a/chicken/cambodia/x0218304/2013_CLADE1.1.2'		
24	'a/open-billed_stork/nakhonsawan/bbd0104f/2004_CLADE1'		
596	'a/cambodia/q0321176/2006_CLADE1'		
323	'a/ck/viet_nam/36/2004_CLADE1'		
690	'a/duck/vietnam/tien_giang_409/2006_CLADE1.1'		
24	'a/thailand/5_CLADE1'		
928	'a/cambodia/v0719348/2011_CLADE1.1.2'		
596	'a/cambodia/408008/2005_CLADE1'		
596	'a/duck/vietnam/soc_trang_680g/2005_CLADE1'		
812	'a/duck/vietnam/ncvd-827/2011_CLADE1.1.1'		
690	'a/muscovy_duck/ca_mau/1181/2006_CLADE1.1'		
24	'a/chicken/thailand/pathumthani-01/2004_CLADE1'		
323	'a/chicken/vietnam/147/2004_CLADE1'		
24	'a/rollers/bangkok/thailand/cu-26/04_CLADE1'		
24	'a/thailand/1_CLADE1'		
596	'a/chicken/vietnam/398/2005_CLADE1'		
922	'a/chicken/cambodia/w0530391/2012_CLADE1.1.2'		
24	'a/moorhen/thailand/cu-318/06_CLADE1'		
24	'a/mallard/vietnam/21/2003_CLADE1'		
235	'a/chicken/thailand/kamphaengphet-3-02/2005_CLADE1'		
24	'a/chicken/nakornsawan/niah6-3-0009/2005_CLADE1'		
0	'a/chicken/yunnan/1251/2003_CLADE1'		
24	'a/chicken/saraburi/thailand/cu-27/04_CLADE1'		
853	'a/cambodia/u0417030/2010_CLADE1.1.2'		
776	'a/duck/vietnam/10/2010_CLADE1.1.1'		
24	'a/chicken/uthaithani/niah6-3-0007/2005_CLADE1'		
24	'a/thailand/2_CLADE1'		
728	'a/duck/vietnam/7/2007_CLADE1.1'	739	
893	'a/duck/cambodia/tk007d1c/2010_CLADE1.1.2'		
596	'a/muscovy_duck/vietnam/ncvd02/2005_CLADE1'		
24	'a/duck/vietnam/ncvd01/2005_CLADE1'		
648	'a/duck/vietnam/1469/2005_CLADE1'		
24	'a/chicken/suphanburi/thailand/cu-9/04_CLADE1'		
922	'a/duck/cambodia/143w4m4/2013_CLADE1.1.2'		
